"Altmetric.Attention.Score","Title","Journal","Journal.ISSNs","Output.Type","Publication.Date","DOI","ISBN","News.mentions","Blog.mentions","Policy.mentions","Twitter.mentions","OA","year","SJR","SJRfac"
839,"Climate change impacts on bumblebees converge across continents","Science","0036-8075, 1095-9203","Article","2015-07-10","10.1126/science.aaa7031",NA,59,23,0,400,FALSE,2015,13.535,"D"
831,"Intensification of winter transatlantic aviation turbulence in response to climate change","Nature Climate Change","1758-678X, 1758-6798","Article","2013-04-08","10.1038/nclimate1866",NA,93,10,0,190,FALSE,2013,8.256,"D"
822,"Narrative Style Influences Citation Frequency in Climate Change Science","PLoS ONE","1932-6203","Article","2016-12-15","10.1371/journal.pone.0167983",NA,17,15,0,975,TRUE,2016,1.201,"B"
819,"Projected asymmetric response of Adélie penguins to Antarctic climate change","Scientific Reports","2045-2322","Article","2016-06-29","10.1038/srep28785",NA,103,18,0,48,TRUE,2016,1.625,"B"
785,"Climatic Changes Lead to Declining Winter Chill for Fruit and Nut Trees in California during 1950–2099","PLoS ONE","1932-6203","Article","2009-07-22","10.1371/journal.pone.0006166",NA,95,5,0,2,TRUE,2009,1.201,"B"
778,"Recent reversal in loss of global terrestrial biomass","Nature Climate Change","1758-678X, 1758-6798","Article","2015-03-30","10.1038/nclimate2581",NA,20,9,0,917,FALSE,2015,8.256,"D"
763,"Perception of climate change","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2007-01-01","10.1073/pnas.1205276109",NA,35,53,5,348,FALSE,2007,6.321,"D"
739,"The growing role of methane in anthropogenic climate change","Environmental Research Letters","1748-9326","Article","2016-12-01","10.1088/1748-9326/11/12/120207",NA,82,16,0,241,TRUE,2016,2.628,"C"
738,"Future flood losses in major coastal cities","Nature Climate Change","1758-678X, 1758-6798","Article","2013-08-18","10.1038/nclimate1979",NA,57,26,14,257,FALSE,2013,8.256,"D"
720,"Climate change disables coral bleaching protection on the Great Barrier Reef","Science","0036-8075, 1095-9203","Article","2016-04-15","10.1126/science.aac7125",NA,82,14,1,289,FALSE,2016,13.535,"D"
696,"Tracing anthropogenic carbon dioxide and methane emissions to fossil fuel and cement producers, 1854–2010","Climatic Change","0165-0009, 1573-1480","Article","2013-11-22","10.1007/s10584-013-0986-y",NA,60,39,0,284,FALSE,2013,1.883,"C"
687,"Climate change, wine, and conservation.","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2013-04-08","10.1073/pnas.1210127110",NA,69,25,0,103,FALSE,2013,6.321,"D"
680,"End-Cretaceous extinction in Antarctica linked to both Deccan volcanism and meteorite impact via climate change","Nature Communications","2041-1723","Article","2016-07-05","10.1038/ncomms12079",NA,79,11,0,139,TRUE,2016,6.399,"D"
647,"Attributing human mortality during extreme heat waves to anthropogenic climate change","Environmental Research Letters","1748-9326","Article","2016-07-01","10.1088/1748-9326/11/7/074006",NA,66,16,1,206,TRUE,2016,2.628,"C"
627,"Primary forest cover loss in Indonesia over 2000–2012","Nature Climate Change","1758-678X, 1758-6798","Article","2014-06-29","10.1038/nclimate2277",NA,81,16,0,60,FALSE,2014,8.256,"D"
604,"The Scientific Consensus on Climate Change as a Gateway Belief: Experimental Evidence","PLoS ONE","1932-6203","Article","2015-02-25","10.1371/journal.pone.0118489",NA,56,34,0,174,TRUE,2015,1.201,"B"
593,"Strongly increasing heat extremes in the Middle East and North Africa (MENA) in the 21st century","Climatic Change","0165-0009, 1573-1480","Article","2016-04-23","10.1007/s10584-016-1665-6",NA,73,9,0,66,TRUE,2016,1.883,"C"
579,"Cool dudes: The denial of climate change among conservative white males in the United States ","Global Environmental Change","0959-3780","Article","2011-07-22","10.1016/j.gloenvcha.2011.06.003",NA,17,14,0,540,FALSE,2011,3.507,"D"
578,"Climate Change and the Evolution and Fate of the Tangier Islands of Chesapeake Bay, USA","Scientific Reports","2045-2322","Article","2015-12-10","10.1038/srep17890",NA,39,8,0,453,TRUE,2015,1.625,"B"
575,"Assessment of the climate commitments and additional mitigation policies of the United States","Nature Climate Change","1758-678X, 1758-6798","Article","2016-09-26","10.1038/nclimate3125",NA,69,9,1,70,FALSE,2016,8.256,"D"
566,"Climate change and the permafrost carbon feedback","Nature","0028-0836, 1476-4687","Article","2015-04-09","10.1038/nature14338",NA,54,29,3,177,FALSE,2015,18.134,"D"
561,"Limiting global warming to 2[thinsp][deg]C is unlikely to save most coral reefs","Nature Climate Change","1758-678X, 1758-6798","Article","2012-09-16","10.1038/nclimate1674",NA,33,29,2,416,FALSE,2012,8.256,"D"
560,"Power-generation system vulnerability and adaptation to changes in climate and water resources","Nature Climate Change","1758-678X, 1758-6798","Article","2016-01-04","10.1038/nclimate2903",NA,67,11,0,109,FALSE,2016,8.256,"D"
553,"‘Climate value at risk’ of global financial assets","Nature Climate Change","1758-678X, 1758-6798","Article","2016-04-04","10.1038/nclimate2972",NA,50,16,0,153,FALSE,2016,8.256,"D"
551,"Hotspot of accelerated sea-level rise on the Atlantic coast of North America","Nature Climate Change","1758-678X, 1758-6798","Article","2012-06-24","10.1038/nclimate1597",NA,39,29,3,156,FALSE,2012,8.256,"D"
548,"Quantifying underestimates of long-term upper-ocean warming","Nature Climate Change","1758-678X, 1758-6798","Article","2014-10-05","10.1038/nclimate2389",NA,37,30,0,180,FALSE,2014,8.256,"D"
536,"Persistent shift of the Arctic polar vortex towards the Eurasian continent in recent decades","Nature Climate Change","1758-678X, 1758-6798","Article","2016-10-24","10.1038/nclimate3136",NA,64,5,0,109,FALSE,2016,8.256,"D"
535,"Climate Change Affects Winter Chill for Temperate Fruit and Nut Trees","PLoS ONE","1932-6203","Article","2011-05-24","10.1371/journal.pone.0020155",NA,63,6,0,6,TRUE,2011,1.201,"B"
528,"Climate change prediction: Erring on the side of least drama? ","Global Environmental Change","0959-3780","Article","2012-11-01","10.1016/j.gloenvcha.2012.10.008",NA,31,25,0,308,FALSE,2012,3.507,"D"
527,"Global climate change driven by soot at the K-Pg boundary as the cause of the mass extinction","Scientific Reports","2045-2322","Article","2016-07-14","10.1038/srep28427",NA,61,5,0,51,TRUE,2016,1.625,"B"
526,"Limited impact on decadal-scale climate change from increased use of natural gas","Nature","0028-0836, 1476-4687","Article","2014-10-15","10.1038/nature13837",NA,31,22,1,238,FALSE,2014,18.134,"D"
523,"Importance of food-demand management for climate mitigation","Nature Climate Change","1758-678X, 1758-6798","Article","2014-08-31","10.1038/nclimate2353",NA,45,16,8,217,FALSE,2014,8.256,"D"
518,"Irreversible climate change due to carbon dioxide emissions","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2009-01-28","10.1073/pnas.0812721106",NA,26,36,10,165,FALSE,2009,6.321,"D"
500,"An adaptability limit to climate change due to heat stress","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2010-05-03","10.1073/pnas.0913352107",NA,46,32,4,179,FALSE,2010,6.321,"D"
499,"Institutionalizing delay: foundation funding and the creation of U.S. climate change counter-movement organizations","Climatic Change","0165-0009, 1573-1480","Article","2013-12-21","10.1007/s10584-013-1018-7",NA,49,24,1,88,FALSE,2013,1.883,"C"
499,"Biophysical and economic limits to negative CO2 emissions","Nature Climate Change","1758-678X, 1758-6798","Article","2015-12-07","10.1038/nclimate2870",NA,43,20,0,286,FALSE,2015,8.256,"D"
482,"Projected continent-wide declines of the emperor penguin under climate change","Nature Climate Change","1758-678X, 1758-6798","Article","2014-06-29","10.1038/nclimate2280",NA,52,10,0,31,FALSE,2014,8.256,"D"
482,"Crop pests and pathogens move polewards in a warming world","Nature Climate Change","1758-678X, 1758-6798","Article","2013-09-01","10.1038/nclimate1990",NA,35,13,4,146,FALSE,2013,8.256,"D"
479,"Changing climates of conflict: A social network experiment in 56 schools","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2016-01-04","10.1073/pnas.1514483113",NA,34,7,2,315,FALSE,2016,6.321,"D"
468,"Deep-ocean contribution to sea level and energy budget not detectable over the past decade","Nature Climate Change","1758-678X, 1758-6798","Article","2014-10-05","10.1038/nclimate2387",NA,31,27,1,109,FALSE,2014,8.256,"D"
464,"Tropical cyclones and climate change","Nature Geoscience","1752-0894, 1752-0908","Article","2010-02-21","10.1038/ngeo779",NA,33,37,17,63,FALSE,2010,7.212,"D"
464,"Global mismatch between greenhouse gas emissions and the burden of climate change","Scientific Reports","2045-2322","Article","2016-02-05","10.1038/srep20281",NA,44,12,0,186,TRUE,2016,1.625,"B"
458,"Ice plug prevents irreversible discharge from East Antarctica","Nature Climate Change","1758-678X, 1758-6798","Article","2014-05-04","10.1038/nclimate2226",NA,42,16,3,75,FALSE,2014,8.256,"D"
444,"Predictors of public climate change awareness and risk perception around the world","Nature Climate Change","1758-678X, 1758-6798","Article","2015-07-27","10.1038/nclimate2728",NA,21,17,1,253,FALSE,2015,8.256,"D"
439,"Climate change. Atlantic and Pacific multidecadal oscillations and Northern Hemisphere temperatures.","Science","0036-8075, 1095-9203","Article","2015-02-27","10.1126/science.1257856",NA,36,27,1,141,FALSE,2015,13.535,"D"
435,"Corporate funding and ideological polarization about climate change","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2015-11-23","10.1073/pnas.1509433112",NA,38,15,1,165,FALSE,2015,6.321,"D"
431,"The climate response to five trillion tonnes of carbon","Nature Climate Change","1758-678X, 1758-6798","Article","2016-05-23","10.1038/nclimate3036",NA,30,16,0,136,FALSE,2016,8.256,"D"
428,"Attribution of climate extreme events","Nature Climate Change","1758-678X, 1758-6798","Article","2015-06-22","10.1038/nclimate2657",NA,40,22,2,94,FALSE,2015,8.256,"D"
426,"Near-term acceleration in the rate of temperature change","Nature Climate Change","1758-678X, 1758-6798","Article","2015-03-09","10.1038/nclimate2552",NA,32,26,0,110,FALSE,2015,8.256,"D"
425,"Estimates of solid waste disposal rates and reduction targets for landfill gas emissions","Nature Climate Change","1758-678X, 1758-6798","Article","2015-09-21","10.1038/nclimate2804",NA,47,11,0,43,FALSE,2015,8.256,"D"
424,"RCP 8.5—A scenario of comparatively high greenhouse gas emissions","Climatic Change","0165-0009, 1573-1480","Article","2011-08-13","10.1007/s10584-011-0149-y",NA,62,58,4,17,FALSE,2011,1.883,"C"
423,"More extreme precipitation in the world[rsquor]s dry and wet regions","Nature Climate Change","1758-678X, 1758-6798","Article","2016-03-07","10.1038/nclimate2941",NA,54,8,0,82,FALSE,2016,8.256,"D"
422,"Co-benefits of mitigating global greenhouse gas emissions for future air quality and human health","Nature Climate Change","1758-678X, 1758-6798","Article","2013-09-22","10.1038/nclimate2009",NA,46,13,4,77,FALSE,2013,8.256,"D"
421,"Nonlinear temperature effects indicate severe damages to U.S. crop yields under climate change","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2009-09-15","10.1073/pnas.0906865106",NA,29,27,22,127,FALSE,2009,6.321,"D"
421,"Global imprint of climate change on marine life","Nature Climate Change","1758-678X, 1758-6798","Article","2013-08-04","10.1038/nclimate1958",NA,46,17,1,117,FALSE,2013,8.256,"D"
419,"Climate Change Increases Reproductive Failure in Magellanic Penguins","PLoS ONE","1932-6203","Article","2014-01-29","10.1371/journal.pone.0085602",NA,37,16,0,58,TRUE,2014,1.201,"B"
417,"Particulate air pollution from wildfires in the Western US under climate change","Climatic Change","0165-0009, 1573-1480","Article","2016-07-30","10.1007/s10584-016-1762-6",NA,49,14,0,20,FALSE,2016,1.883,"C"
417,"Temperature impacts on economic growth warrant stringent mitigation policy","Nature Climate Change","1758-678X, 1758-6798","Article","2015-01-12","10.1038/nclimate2481",NA,33,25,1,98,FALSE,2015,8.256,"D"
415,"Physically based assessment of hurricane surge threat under climate change","Nature Climate Change","1758-678X, 1758-6798","Article","2012-02-14","10.1038/nclimate1389",NA,12,12,2,341,FALSE,2012,8.256,"D"
413,"Climate and health impacts of US emissions reductions consistent with 2?°C","Nature Climate Change","1758-678X, 1758-6798","Article","2016-02-22","10.1038/nclimate2935",NA,42,11,0,86,FALSE,2016,8.256,"D"
409,"A meta-analysis of crop yield under climate change and adaptation","Nature Climate Change","1758-678X, 1758-6798","Article","2014-03-16","10.1038/nclimate2153",NA,23,16,9,183,FALSE,2014,8.256,"D"
380,"Economic impacts of carbon dioxide and methane released from thawing permafrost","Nature Climate Change","1758-678X, 1758-6798","Article","2015-09-21","10.1038/nclimate2807",NA,36,10,0,126,FALSE,2015,8.256,"D"
379,"Simultaneously Mitigating Near-Term Climate Change and Improving Human Health and Food Security","Science","0036-8075, 1095-9203","Article","2012-01-13","10.1126/science.1210026",NA,30,16,12,77,FALSE,2012,13.535,"D"
374,"Rising temperatures reduce global wheat production","Nature Climate Change","1758-678X, 1758-6798","Article","2014-12-22","10.1038/nclimate2470",NA,22,11,1,251,FALSE,2014,8.256,"D"
374,"Debunking the climate hiatus","Climatic Change","0165-0009, 1573-1480","Article","2015-09-17","10.1007/s10584-015-1495-y",NA,31,13,1,103,FALSE,2015,1.883,"C"
374,"Projections of Water Stress Based on an Ensemble of Socioeconomic Growth and Climate Change Scenarios: A Case Study in Asia","PLoS ONE","1932-6203","Article","2016-03-30","10.1371/journal.pone.0150633",NA,40,3,0,119,TRUE,2016,1.201,"B"
366,"Climate Change Impacts on Global Food Security","Science","0036-8075, 1095-9203","Article","2013-08-01","10.1126/science.1239402",NA,17,9,17,214,FALSE,2013,13.535,"D"
363,"Network structure and influence of the climate change counter-movement","Nature Climate Change","1758-678X, 1758-6798","Article","2015-11-30","10.1038/nclimate2875",NA,21,12,0,203,FALSE,2015,8.256,"D"
362,"Functional mismatch in a bumble bee pollination mutualism under climate change","Science","0036-8075, 1095-9203","Article","2015-09-25","10.1126/science.aab0868",NA,35,12,1,71,FALSE,2015,13.535,"D"
353,"Direct observations of ice seasonality reveal changes in climate over the past 320–570 years","Scientific Reports","2045-2322","Article","2016-04-26","10.1038/srep25061",NA,15,8,0,258,TRUE,2016,1.625,"B"
347,"Timescales of transformational climate change adaptation in sub-Saharan African agriculture","Nature Climate Change","1758-678X, 1758-6798","Article","2016-03-07","10.1038/nclimate2947",NA,40,8,1,85,FALSE,2016,8.256,"D"
346,"Increasing drought under global warming in observations and models","Nature Climate Change","1758-678X, 1758-6798","Article","2012-08-05","10.1038/nclimate1633",NA,22,28,4,70,FALSE,2012,8.256,"D"
340,"Predators help protect carbon stocks in blue carbon ecosystems","Nature Climate Change","1758-678X, 1758-6798","Article","2015-09-28","10.1038/nclimate2763",NA,32,7,1,149,FALSE,2015,8.256,"D"
338,"Trade-off between intensity and frequency of global tropical cyclones","Nature Climate Change","1758-678X, 1758-6798","Article","2015-05-18","10.1038/nclimate2646",NA,29,8,0,165,FALSE,2015,8.256,"D"
337,"The social cost of atmospheric release","Climatic Change","0165-0009, 1573-1480","Article","2015-02-25","10.1007/s10584-015-1343-0",NA,20,17,1,143,FALSE,2015,1.883,"C"
337,"Rates of projected climate change dramatically exceed past rates of climatic niche evolution among vertebrate species","Ecology Letters","1461-023X, 1461-0248","Article","2013-01-01","10.1111/ele.12144",NA,18,12,0,119,FALSE,2013,7.634,"D"
327,"Increased frequency of extreme La Niña events under greenhouse warming","Nature Climate Change","1758-678X, 1758-6798","Article","2015-01-26","10.1038/nclimate2492",NA,32,12,1,96,FALSE,2015,8.256,"D"
323,"Economics: Higher costs of climate change.","Nature","0028-0836, 1476-4687","Article","2015-10-21","10.1038/nature15643",NA,28,9,0,78,FALSE,2015,18.134,"D"
316,"Efficient use of land to meet sustainable energy needs","Nature Climate Change","1758-678X, 1758-6798","Article","2015-03-16","10.1038/nclimate2556",NA,13,17,0,167,FALSE,2015,8.256,"D"
313,"Climate change and forest fires synergistically drive widespread melt events of the Greenland Ice Sheet","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2014-05-19","10.1073/pnas.1405397111",NA,26,12,0,72,FALSE,2014,6.321,"D"
311,"Effects of climate change and seed dispersal on airborne ragweed pollen loads in Europe","Nature Climate Change","1758-678X, 1758-6798","Article","2015-05-25","10.1038/nclimate2652",NA,36,5,0,42,FALSE,2015,8.256,"D"
310,"Climate Change and Range Expansion of the Asian Tiger Mosquito ( Aedes albopictus ) in Northeastern USA: Implications for Public Health Practitioners","PLoS ONE","1932-6203","Article","2013-04-02","10.1371/journal.pone.0060874",NA,37,7,0,29,TRUE,2013,1.201,"B"
310,"Shrinking of fishes exacerbates impacts of global ocean changes on marine ecosystems","Nature Climate Change","1758-678X, 1758-6798","Article","2012-09-30","10.1038/nclimate1691",NA,19,8,2,137,FALSE,2012,8.256,"D"
310,"Implications for climate sensitivity from the response to individual forcings","Nature Climate Change","1758-678X, 1758-6798","Article","2015-12-14","10.1038/nclimate2888",NA,29,11,0,99,FALSE,2015,8.256,"D"
300,"Termite mounds can increase the robustness of dryland ecosystems to climatic change","Science","0036-8075, 1095-9203","Article","2015-02-06","10.1126/science.1261487",NA,26,10,0,110,FALSE,2015,13.535,"D"
298,"Climate change is advancing spring onset across the U.S. national park system","Ecosphere","2150-8925","Article","2016-10-06","10.1002/ecs2.1465",NA,31,3,0,110,TRUE,2016,1.333,"B"
298,"Increasing stress on disaster-risk finance due to large floods","Nature Climate Change","1758-678X, 1758-6798","Article","2014-03-02","10.1038/nclimate2124",NA,20,8,5,78,FALSE,2014,8.256,"D"
297,"Widespread rapid reductions in body size of adult salamanders in response to climate change","Global Change Biology","1354-1013, 1365-2486","Article","2014-03-01","10.1111/gcb.12550",NA,27,6,0,74,FALSE,2014,4.768,"D"
296,"Biodiversity enhances reef fish biomass and resistance to climate change","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2016-05-16","10.1073/pnas.1524465113",NA,25,7,0,113,FALSE,2016,6.321,"D"
295,"Increasing risk of compound flooding from storm surge and rainfall for major US cities","Nature Climate Change","1758-678X, 1758-6798","Article","2015-07-27","10.1038/nclimate2736",NA,32,9,0,33,FALSE,2015,8.256,"D"
295,"Increased record-breaking precipitation events under global warming","Climatic Change","0165-0009, 1573-1480","Article","2015-07-07","10.1007/s10584-015-1434-y",NA,26,12,0,86,FALSE,2015,1.883,"C"
292,"Polar and brown bear genomes reveal ancient admixture and demographic footprints of past climate change","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2012-07-23","10.1073/pnas.1210506109",NA,17,15,0,61,FALSE,2012,6.321,"D"
291,"Consistent response of bird populations to climate change on two continents","Science","0036-8075, 1095-9203","Article","2016-04-01","10.1126/science.aac4858",NA,16,5,0,243,FALSE,2016,13.535,"D"
290,"The importance of reduced meat and dairy consumption for meeting stringent climate change targets","Climatic Change","0165-0009, 1573-1480","Article","2014-03-28","10.1007/s10584-014-1104-5",NA,15,14,1,159,FALSE,2014,1.883,"C"
290,"Potential carbon emissions dominated by carbon dioxide from thawed permafrost soils","Nature Climate Change","1758-678X, 1758-6798","Article","2016-06-13","10.1038/nclimate3054",NA,35,7,0,104,FALSE,2016,8.256,"D"
290,"Changes in Ecologically Critical Terrestrial Climate Conditions","Science","0036-8075, 1095-9203","Article","2013-08-02","10.1126/science.1237123",NA,30,8,0,75,FALSE,2013,13.535,"D"
286,"Ecological networks are more sensitive to plant than to animal extinction under climate change","Nature Communications","2041-1723","Article","2016-12-23","10.1038/ncomms13965",NA,14,1,0,297,TRUE,2016,6.399,"D"
286,"Global late Quaternary megafauna extinctions linked to humans, not climate change","Proceedings of the Royal Society B: Biological Sciences","0962-8452, 1471-2954","Article","2014-07-21","10.1098/rspb.2013.3254",NA,16,11,0,154,FALSE,2014,2.541,"C"
285,"How warm days increase belief in global warming","Nature Climate Change","1758-678X, 1758-6798","Article","2014-01-12","10.1038/nclimate2093",NA,18,10,0,108,FALSE,2014,8.256,"D"
285,"Seepage: Climate change denial and its effect on the scientific community","Global Environmental Change","0959-3780","Article","2015-07-01","10.1016/j.gloenvcha.2015.02.013",NA,23,19,0,110,TRUE,2015,3.507,"D"
280,"Improving the forecast for biodiversity under climate change","Science","0036-8075, 1095-9203","Article","2016-09-09","10.1126/science.aad8466",NA,22,7,0,255,FALSE,2016,13.535,"D"
273,"Interacting effects of climate change and habitat fragmentation on drought-sensitive butterflies","Nature Climate Change","1758-678X, 1758-6798","Article","2015-08-10","10.1038/nclimate2746",NA,28,8,0,86,FALSE,2015,8.256,"D"
273,"Grey swan tropical cyclones","Nature Climate Change","1758-678X, 1758-6798","Article","2015-08-31","10.1038/nclimate2777",NA,29,7,2,44,FALSE,2015,8.256,"D"
266,"Climate change: The forecast for 2018 is cloudy with record heat","Nature","0028-0836, 1476-4687","Article","2013-07-11","10.1038/499139a",NA,3,6,0,301,FALSE,2013,18.134,"D"
264,"Global premature mortality due to anthropogenic outdoor air pollution and the contribution of past climate change","Environmental Research Letters","1748-9326","Article","2013-09-01","10.1088/1748-9326/8/3/034005",NA,18,7,0,96,TRUE,2013,2.628,"C"
264,"Response of seafloor ecosystems to abrupt global climate change","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2015-03-30","10.1073/pnas.1417130112",NA,24,7,0,111,FALSE,2015,6.321,"D"
262,"Climate change selects for heterozygosity in a declining fur seal population","Nature","0028-0836, 1476-4687","Article","2014-07-23","10.1038/nature13542",NA,25,6,0,69,FALSE,2014,18.134,"D"
262,"Linguistic analysis of IPCC summaries for policymakers and associated coverage","Nature Climate Change","1758-678X, 1758-6798","Article","2015-10-12","10.1038/nclimate2824",NA,27,3,0,209,FALSE,2015,8.256,"D"
259,"Meta-analyses of the determinants and outcomes of belief in climate change","Nature Climate Change","1758-678X, 1758-6798","Article","2016-02-22","10.1038/nclimate2943",NA,25,12,0,132,FALSE,2016,8.256,"D"
256,"Projected change in global fisheries revenues under climate change","Scientific Reports","2045-2322","Article","2016-09-07","10.1038/srep32607",NA,16,4,0,148,TRUE,2016,1.625,"B"
255,"Text-mining the signals of climate change doubt ","Global Environmental Change","0959-3780","Article","2016-01-01","10.1016/j.gloenvcha.2015.12.001",NA,25,12,0,78,FALSE,2016,3.507,"D"
255,"Identifying the World's Most Climate Change Vulnerable Species: A Systematic Trait-Based Assessment of all Birds, Amphibians and Corals","PLoS ONE","1932-6203","Article","2013-01-01","10.1371/journal.pone.0065427",NA,11,12,0,170,TRUE,2013,1.201,"B"
254,"Changing atmospheric CO2 concentration was the primary driver of early Cenozoic climate","Nature","0028-0836, 1476-4687","Article","2016-04-25","10.1038/nature17423",NA,28,2,1,133,FALSE,2016,18.134,"D"
