Source.title,X2016.CiteScore,X2016.SJR,X2016.SNIP,Journal.Open.Access,bin,BinCiteScore,BinSJR,BinSNIP
Ecological Economics,3.59,1.712,1.613,Closed,B,B,B,C
Oecologia,3.23,1.72,1.262,Closed,B,B,B,B
Global and Planetary Change,4.16,1.741,1.598,Closed,B,C,B,C
Journal of Hydrology,3.89,1.745,1.759,Closed,C,B,C,C
Journal of Applied Meteorology and Climatology,2.73,1.796,1.183,Closed,C,B,C,B
Ecology and Society,3.75,1.805,1.469,DOAJ/ROAD Open Access,C,B,C,B
International Journal of Climatology,3.49,1.823,1.491,Closed,C,B,C,B
Climatic Change,3.52,1.883,1.296,Closed,C,B,C,B
Progress in Oceanography,3.4,1.922,1.278,Closed,C,B,C,B
Environmental Modelling and Software,4.8,1.936,2.112,Closed,C,D,C,D
Agricultural and Forest Meteorology,4.62,1.976,1.889,Closed,C,C,C,D
Journal of Geophysical Research,3.36,1.996,1.313,Closed,C,B,C,B
Energy,5.17,1.999,1.798,Closed,C,D,C,C
Ecosystems,4.4,2.013,1.564,Closed,C,C,C,C
Building and Environment,4.51,2.015,2.198,Closed,C,C,C,D
Energy and Buildings,4.64,2.093,1.965,Closed,C,C,C,D
Journal of Hydrometeorology,3.72,2.118,1.347,Closed,C,B,C,B
Soil Biology and Biochemistry,5.17,2.132,1.832,Closed,C,D,C,D
Philosophical Transactions of the Royal Society B: Biological Sciences,3.61,2.137,1.137,Closed,C,B,C,B
Energy Policy,4.49,2.197,1.959,Closed,C,C,C,D
Hydrology and Earth System Sciences,4.22,2.216,1.624,DOAJ/ROAD Open Access,C,C,C,C
Biological Conservation,4.22,2.322,1.684,Closed,C,C,C,C
Biogeosciences,4.25,2.328,1.305,DOAJ/ROAD Open Access,C,C,C,B
Paleoceanography,3.25,2.349,0.97,Closed,C,B,C,A
Water Resources Research,4.1,2.383,1.553,Closed,C,C,C,C
Energy Economics,3.89,2.387,1.951,Closed,C,C,C,D
Journal of Biogeography,4.35,2.467,1.681,Closed,C,C,C,C
Climate of the Past,4.05,2.526,1.075,DOAJ/ROAD Open Access,C,C,C,A
Proceedings of the Royal Society B: Biological Sciences,3.89,2.541,1.474,Closed,C,C,C,B
Monthly Weather Review,3.24,2.558,1.322,Closed,C,B,C,B
Environmental Research Letters,4.74,2.628,1.575,DOAJ/ROAD Open Access,C,C,C,C
Diversity and Distributions,4.64,2.651,1.542,Closed,C,C,C,C
Global Biogeochemical Cycles,4.55,2.701,1.221,Closed,D,C,D,B
Quaternary Science Reviews,4.9,2.81,1.776,Closed,D,D,D,C
Journal of Applied Ecology,5.5,2.869,2.008,Closed,D,D,D,D
Geophysical Research Letters,4.35,2.91,1.499,Closed,D,C,D,C
Climate Dynamics,4.03,3.019,1.339,Closed,D,C,D,B
Renewable and Sustainable Energy Reviews,9.52,3.051,3.454,Closed,D,D,D,D
Applied Energy,7.78,3.058,2.573,Closed,D,D,D,D
Remote Sensing of Environment,6.92,3.073,2.943,Closed,D,D,D,D
Geology,4.29,3.112,1.663,Closed,D,C,D,C
Earth and Planetary Science Letters,4.53,3.171,1.558,Closed,D,C,D,C
Ecology,4.8,3.255,1.76,Closed,D,D,D,C
Atmospheric Chemistry and Physics,5.72,3.264,1.756,DOAJ/ROAD Open Access,D,D,D,C
Global Environmental Change,7.62,3.507,2.818,Closed,D,D,D,D
Molecular Ecology,5.9,3.508,1.651,Closed,D,D,D,C
Cryosphere,5.49,3.511,1.76,DOAJ/ROAD Open Access,D,D,D,C
New Phytologist,6.72,3.573,2.049,Closed,D,D,D,D
Ecography,5.59,3.592,1.983,Closed,D,D,D,D
Journal of Ecology,6.09,3.736,2.051,Closed,D,D,D,D
Global Ecology and Biogeography,6.4,4.061,1.903,Closed,D,D,D,D
Journal of Climate,5.08,4.355,1.571,Closed,D,D,D,C
Bulletin of the American Meteorological Society,7.02,4.728,3.232,Closed,D,D,D,D
Global Change Biology,8.75,4.768,2.615,Closed,D,D,D,D
Proceedings of the National Academy of Sciences of the United States of America,8.56,6.321,2.629,Closed,D,D,D,D
Nature Communications,11.8,6.399,2.995,DOAJ/ROAD Open Access,D,D,D,D
Nature Geoscience,8.08,7.212,3.72,Closed,D,D,D,D
Ecology Letters,10.76,7.634,3.405,Closed,D,D,D,D
Nature Climate Change,10.06,8.256,4.742,Closed,D,D,D,D
Science,14.39,13.535,7.688,Closed,D,D,D,D
Nature,13.33,18.134,8.039,Closed,D,D,D,D
